regex	replace_char
堀ツ	堀川
佐ツ	佐川
淀ツ	淀川
柳ツ	柳川
田ツ	田川
女ツ	女川
桶ツ	桶川
[こニ]ツ	二川
須賀ツ	須賀川
[こニ]戸	二戸
[こニ]本松	二本松
[シミ]木	三木
[シミ]沢	三沢
[シミ]戸	三戸
[シミ]田	三田
[シミ]春	三春
[シミ]島	三島
[シミ]崎	三崎
[シミ]次	三次
[シミ]原	三原
[シミ三][官宮]	三宮
ハ戸	八戸
ハ雲	八雲
ハ幡	八幡
ハ尾	八尾
ハ代	八代
ハ重	八重
[ハ八][チ干千]代	八千代

川材	川村
西材	西村
材上	村上
犬石	大石
犬木	大木
犬口	大口
田申	田中
官城	宮城
官崎	宮崎
宇都官	宇都宮
佐[ロ口]	佐々
五ナ嵐	五十嵐
芽野	茅野
高[チ干]穂	高千穂
伊束	伊東
束山	東山
束島	東島
束野	東野
束金	東金
束城	東城
束条	東条
束條	東條

末来	未来
末緒	未緒
末生	未生
末希	未希
末奈	未奈
克[せやセヤ]	克也
勝[せやセヤ]	勝也
一[せやセヤ]	一也
和[せやセヤ]	和也
信[せやセヤ]	信也
伸[せやセヤ]	伸也
真[せやセヤ]	真也
拓[せやセヤ]	拓也
卓[せやセヤ]	卓也
達[せやセヤ]	達也
哲[せやセヤ]	哲也
友[せやセヤ]	友也
雅[せやセヤ]	雅也
裕[せやセヤ]	裕也
